iter	Passed	Remaining
0	95	23729
1	188	23367
2	285	23497
3	444	27319
4	533	26120
5	625	25435
6	736	25554
7	848	25674
8	976	26142
9	1061	25484
10	1148	24949
11	1237	24544
12	1327	24205
13	1413	23834
14	1513	23709
15	1598	23381
16	1686	23118
17	1781	22961
18	1874	22786
19	1966	22609
20	2059	22460
21	2148	22265
22	2236	22076
23	2331	21954
24	2416	21746
25	2506	21591
26	2598	21458
27	2689	21326
28	2785	21226
29	2912	21356
30	3019	21334
31	3126	21296
32	3238	21298
33	3371	21418
34	3523	21642
35	3669	21815
36	3790	21821
37	3895	21732
38	3983	21551
39	4068	21361
40	4158	21198
41	4246	21028
42	4332	20858
43	4434	20762
44	4557	20762
45	4678	20747
46	4785	20668
47	4896	20607
48	4997	20498
49	5087	20348
50	5177	20202
51	5264	20046
52	5350	19889
53	5437	19736
54	5530	19609
55	5657	19600
56	5754	19483
57	5839	19331
58	5932	19206
59	6028	19091
60	6154	19070
61	6300	19105
62	6445	19130
63	6537	19000
64	6629	18867
65	6765	18862
66	6869	18764
67	6970	18657
68	7060	18521
69	7145	18373
70	7269	18328
71	7408	18315
72	7543	18290
73	7668	18238
74	7789	18175
75	7895	18077
76	8007	17990
77	8133	17935
78	8228	17810
79	8395	17840
80	8561	17863
81	8662	17747
82	8775	17657
83	8892	17572
84	9009	17488
85	9123	17398
86	9234	17301
87	9327	17171
88	9447	17090
89	9552	16981
90	9673	16901
91	9766	16773
92	9853	16634
93	9943	16502
94	10027	16360
95	10143	16272
96	10277	16211
97	10381	16101
98	10492	16004
99	10597	15896
100	10713	15804
101	10814	15691
102	10903	15561
103	10989	15428
104	11074	15293
105	11155	15154
106	11243	15026
107	11356	14931
108	11483	14855
109	11595	14757
110	11723	14681
111	11828	14574
112	11945	14482
113	12058	14386
114	12165	14280
115	12299	14207
116	12409	14106
117	12528	14014
118	12640	13915
119	12747	13810
120	12880	13732
121	12999	13639
122	13121	13548
123	13246	13460
124	13410	13410
125	13574	13358
126	13720	13288
127	14042	13384
128	14311	13423
129	14472	13359
130	14700	13353
131	14933	13349
132	15079	13265
133	15172	13134
134	15279	13015
135	15428	12932
136	15522	12803
137	15618	12676
138	15727	12559
139	15854	12457
140	15963	12340
141	16054	12210
142	16141	12077
143	16238	11953
144	16336	11830
145	16459	11724
146	16544	11592
147	16631	11462
148	16728	11339
149	16869	11246
150	17003	11147
151	17105	11028
152	17199	10904
153	17302	10785
154	17414	10673
155	17556	10578
156	17668	10466
157	17778	10352
158	17885	10236
159	17969	10108
160	18063	9985
161	18146	9857
162	18232	9731
163	18328	9611
164	18415	9486
165	18499	9361
166	18600	9244
167	18686	9120
168	18776	8999
169	18871	8880
170	18956	8757
171	19044	8636
172	19136	8517
173	19222	8396
174	19308	8274
175	19403	8158
176	19486	8036
177	19570	7915
178	19672	7802
179	19797	7699
180	19933	7599
181	20050	7491
182	20165	7383
183	20276	7273
184	20415	7172
185	20708	7125
186	20829	7017
187	20927	6901
188	21051	6794
189	21183	6689
190	21302	6580
191	21402	6465
192	21489	6346
193	21578	6228
194	21705	6122
195	21795	6004
196	21880	5886
197	21978	5772
198	22118	5668
199	22216	5554
200	22304	5437
201	22394	5321
202	22492	5207
203	22582	5092
204	22669	4976
205	22762	4861
206	22851	4746
207	22959	4636
208	23152	4541
209	23277	4433
210	23400	4325
211	23511	4214
212	23639	4106
213	23749	3995
214	23874	3886
215	24001	3778
216	24154	3673
217	24296	3566
218	24532	3472
219	24671	3364
220	24790	3253
221	24878	3137
222	24984	3024
223	25115	2915
224	25235	2803
225	25368	2694
226	25471	2580
227	25566	2466
228	25676	2354
229	25776	2241
230	25893	2129
231	26015	2018
232	26142	1907
233	26232	1793
234	26320	1680
235	26435	1568
236	26522	1454
237	26614	1341
238	26711	1229
239	26798	1116
240	26887	1004
241	26980	891
242	27065	779
243	27208	669
244	27323	557
245	27473	446
246	27598	335
247	27713	223
248	27816	111
249	27919	0
